name,dob,gender,address,aadharNumber,phoneNumber,isTrainPassActive,isBusPassActive,image
Mahika Thakkar,27-06-52,female,"24/838, Mannan Circle, Ballia-231358",8.78793E+11,1187120532,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Tiya Vora,13-04-53,female,"H.No. 87
Ramakrishnan Street, Jaunpur-039086",5.23328E+11,4.54467E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Azad Agate,13-06-10,female,"009, Sen Path
Ballia-951557",8.89418E+11,5.30876E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Tushar Buch,11-01-19,male,"H.No. 32
Lala Marg
Bongaigaon 004533",3.52182E+11,286785256,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Vanya Hayre,08-02-68,male,"36/616, Bhatnagar
Thiruvananthapuram 005661",2.76846E+11,912784757,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Onkar Vala,05-06-02,female,"H.No. 88, Srinivas Path, Thane 801253",3.91775E+11,918991332,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Umang Sarna,29-06-80,male,"H.No. 46, Kala Chowk, Surat-739481",36319828156,7.2516E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Arnav Singh,31-03-29,male,"H.No. 13, Date Road
Sultan Pur Majra 321584",6.1146E+11,9.11733E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Arnav Sangha,01-10-85,female,"61/339
Viswanathan Chowk, Kirari Suleman Nagar-212757",9.19502E+11,7.09964E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Saksham Chakrabarti,18-06-86,male,"H.No. 183, Bhatt Street, Jaipur 524978",1.57807E+11,2.60789E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Kiaan Bandi,13-04-58,female,"658
Ratti Nagar
Korba 071339",5.77986E+11,5105831709,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Ryan Bhakta,07-02-00,female,"H.No. 02, Bail Marg, Kakinada 249901",7.19092E+11,916760877,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Anika Dube,26-11-62,female,"65, Rastogi Road, Jamnagar 824772",2.85775E+11,9106862821,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Vanya Dara,08-02-44,male,"01/899
Contractor Zila
Ambala-449586",1.48629E+11,58007690961,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Saksham Bhalla,30-05-92,female,"50/395, Dada Path, Bihar Sharif-707182",3.49301E+11,2.09186E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Kimaya Bhat,25-07-62,male,"87, Sheth Ganj
Kulti-836865",6.89358E+11,3392680761,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Reyansh Lad,04-07-18,female,"H.No. 57
Raval Chowk
Raipur 658874",8.70214E+11,70416809322,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Zoya Kothari,27-03-96,male,"05
Bala Nagar, Phusro 221550",7.36377E+11,7898230152,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Nirvaan Choudhary,13-09-37,female,"01/21
Seshadri Nagar, Nagaon-304300",6.49101E+11,3.97193E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Neysa Badami,16-04-32,female,"H.No. 19, Ben Marg
Naihati 923342",7.09979E+11,7.50988E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Himmat Talwar,09-02-03,male,"198, Tripathi Nagar, Yamunanagar-045663",4.25653E+11,6687214655,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Aradhya Gera,18-01-01,male,"665
Goyal Chowk, Amaravati-306891",2.36952E+11,2718687301,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Aarav Balasubramanian,08-12-50,male,"419, Srinivasan Nagar
Nangloi Jat 158294",4.72035E+11,915708934,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Kismat Gokhale,14-11-69,male,"84/90
Mangal Circle, Nashik 088928",3.92651E+11,4.82264E+12,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Amira Kota,18-02-78,female,"H.No. 82
Ramesh
Vadodara-971280",36319641259,53008104781,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Rohan Suresh,07-03-10,male,"04/46, Sabharwal, Arrah 980814",9.81954E+11,911650576,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Tanya Bhalla,22-11-24,male,"H.No. 28, Bera Circle, Medininagar-356047",8.51234E+11,9994615572,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Biju Mammen,06-01-86,male,"H.No. 08, Chahal Ganj
Thanjavur 200074",1.41897E+11,5863823123,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Tushar Dyal,21-11-91,female,"37
Sastry Nagar, Dharmavaram 111747",7.7621E+11,7812930156,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Shanaya Korpal,23-01-41,female,"85
Sen Circle
Berhampore 133189",2.095E+11,7644865570,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Ela Sekhon,11-10-08,female,"H.No. 130, Kale Street, Agartala-910898",3.80838E+11,7.04062E+12,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Jivika Cheema,20-12-69,female,"528, Dar Path
Panvel 844882",8.20143E+11,7593875159,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Samar Kibe,02-04-64,male,"72/186
Choudhry
Deoghar-879238",7.21679E+11,916648375,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Jayesh Vyas,04-04-01,female,"50/08
Kadakia Street
Medininagar 448951",2.70181E+11,765970414,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Siya Jain,15-01-19,female,"H.No. 71, Chacko, Allahabad 160394",6.25137E+11,9169404205,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Lakshit Biswas,26-05-13,male,"72/033, Ahluwalia Ganj, Mango-417959",1.47091E+11,9.17688E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Madhav Manda,22-10-48,female,"58/917
Bumb Marg
Dhule 530713",4.89195E+11,9.11968E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Himmat Acharya,05-08-95,male,"H.No. 80
Kapadia Path
Shimla-579276",4.82515E+11,9108266080,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Yashvi Lall,13-02-06,male,"13
Sura Ganj, Imphal 936533",7.19905E+11,9189357307,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Heer Bajaj,20-09-20,male,"H.No. 39, Sawhney Marg
Unnao 705841",9.65932E+11,4.5438E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Oorja Sahota,03-11-73,male,"H.No. 43, Swaminathan Path, Jaunpur-766551",5.09983E+11,9179179758,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Tushar Sami,22-07-82,female,"54/959
Cherian Street, Rajkot 093840",2.74823E+11,915783009,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Hiran Madan,18-02-49,female,"H.No. 50
Grover Road
Raiganj 004560",9.11297E+11,75821296,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Rasha Thaman,01-08-63,female,"12/33
Gade Chowk
Begusarai-950057",1.11286E+11,4139667434,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Veer Dhillon,22-08-53,male,"82
Baral Marg
Bhiwandi 660504",17875050274,5103994469,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Uthkarsh Kurian,25-03-20,female,"586
Dada Street, Hubli–Dharwad-627776",5.77069E+11,9829502779,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Lakshay Kunda,15-12-46,male,"23, Choudhry Road
Navi Mumbai 617837",1.14438E+11,86438854054,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Renee Chada,09-03-09,male,"H.No. 95, Dubey Chowk
Shivpuri-749883",8.74336E+11,9.18861E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Anika Kapoor,15-11-58,male,"20/719
Sura Chowk
Haridwar 844403",3.59796E+11,9191735289,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Aaryahi Joshi,14-10-59,female,"H.No. 52
Srinivasan Street, Nagpur-537759",3.67909E+11,2.22763E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Divit Brar,16-03-28,female,"96/857
Mall Zila
Mira-Bhayandar 416542",80758103027,9168382570,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Amani Randhawa,24-03-26,female,"H.No. 33
Rao Zila, Nangloi Jat 107919",3.37786E+11,912917021,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Charvi Bobal,19-12-16,male,"20/405, Singh Path
Aurangabad 472216",97676839012,2.52978E+12,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Hansh Bala,22-07-06,male,"90
Gill Street, Gandhidham-501627",8.93196E+11,7169940261,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Faiyaz Kari,28-06-73,female,"875
Sarraf Road
New Delhi-543330",8.23558E+11,3282906690,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Jiya Mangat,01-09-13,male,"H.No. 320, Mahajan Street, Cuttack-332700",1.52127E+11,9.12811E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Lagan Chandran,23-06-73,female,"H.No. 42, Barad Circle
Ghaziabad-670201",9.4014E+11,35603759049,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Tara Majumdar,10-04-91,female,"H.No. 099
Kakar Chowk
Sambhal-169113",4.62624E+11,911908112,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Sana Dora,01-08-14,female,"18/97, Devan, Jammu 719932",4.34594E+11,8.05987E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Samiha Tiwari,19-10-27,male,"33/77, Subramaniam Road
Guwahati 363045",9.59744E+11,9197805413,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Mahika Balakrishnan,20-06-58,female,"81/35, Krishnan Nagar
Tezpur 577058",66063723006,642989881,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Hansh Chatterjee,25-03-51,male,"36/22, Dayal Nagar, Kochi 841169",4.9373E+11,6227279222,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Tiya Chana,24-06-08,male,"83/47
Bhalla Marg, Chennai 563895",3.17205E+11,63548272219,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Aaina Uppal,17-12-31,female,"H.No. 05
Vora Ganj, Malegaon-416392",1.11176E+11,1.15683E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Saksham Aggarwal,17-01-50,female,"92, Kuruvilla Marg, Srikakulam 223471",35574420976,9.19839E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Shlok Aurora,12-04-07,female,"61/46
Deshpande Path, Bijapur-864696",7.71364E+11,9.10848E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Emir Majumdar,14-10-15,female,"86, Toor Circle
Rewa-715104",9.66763E+11,11849283358,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Zain Shankar,21-08-26,male,"063, Sathe Road, Panvel 784317",9.8782E+11,2.25611E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Anya Swamy,13-01-11,male,"12/791, Mani Chowk, Sikar-747601",4.66023E+11,913789239,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Bhavin Buch,21-08-91,female,"40
Bhatt Path
Malegaon 628189",6.95016E+11,9.11698E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Nitara Bahri,31-05-78,male,"H.No. 645, Ghosh Ganj, Rourkela 313497",6.20404E+11,9117211585,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Shalv Raj,28-06-08,male,"37/723
Sharaf Path
Solapur 475717",9.51043E+11,6.66596E+12,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Himmat Kurian,12-04-47,male,"55/911, Tank Path, Aligarh-779849",1.70761E+11,249924360,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Vihaan Chanda,12-06-10,male,"62/360
Devan Ganj
Mathura-458778",8.85795E+11,9117006475,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Stuvan Dasgupta,24-10-43,male,"692, Jani Nagar
Amaravati 826463",1.78994E+11,8039427839,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Nayantara Dash,18-08-26,female,"745, Goswami Street
Bhopal-889454",9.83816E+11,54019832085,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Tejas Vora,05-05-11,male,"80
Badami Chowk, Rohtak-060215",9.34481E+11,254942517,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Heer Sagar,29-09-23,female,"40/816
Das Nagar
Tiruppur-017639",3.12889E+11,9.16636E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Tiya Kala,14-03-44,female,"52
Tara Path
Barasat-347137",9.07971E+11,1227622145,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Piya Swaminathan,27-02-91,female,"28, Bahl Marg
Nashik-117225",4.29388E+11,3801885446,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Urvi Dass,12-11-42,female,"10/722
Sarna Zila
Tirupati 990266",9.05166E+11,837743540,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Umang Tiwari,06-03-63,male,"33/100
Choudhary Zila
Bikaner-695415",3.52212E+11,917919640,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Hansh Dey,17-01-74,male,"09/76, Thaman Road, Fatehpur-966075",1.53556E+11,9.10759E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Priyansh Mahajan,20-11-23,female,"H.No. 315
Bajwa Ganj, Kishanganj 154575",5.11423E+11,6182890949,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Sara Dugal,07-12-56,female,"12/397
Kakar Circle
Tirunelveli 660254",8.69E+11,919889157,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Devansh Dua,04-06-85,male,"972, Gupta Ganj
Srikakulam-292191",5.61201E+11,9129825029,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Anay Kala,19-06-22,female,"23/715
Kaur Nagar
Katihar-088357",3.9638E+11,9.11895E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Alia Ramaswamy,27-01-54,female,"H.No. 78
Gara Marg
Gwalior-674272",9.75434E+11,1.23972E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Saksham Subramanian,06-07-41,male,"47, Chadha Chowk
Patna-569272",7.23704E+11,9193805055,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Samiha Andra,06-10-33,female,"04/711, Gill Circle, Bihar Sharif 835448",543632302,2608283041,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Kavya Wali,02-03-14,male,"76
Seth, Jamalpur 923487",7.77862E+11,7380927198,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Tejas Chatterjee,11-04-04,female,"H.No. 554, Doshi, Kakinada 201683",4.628E+11,9.10867E+11,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Miraya Rama,25-02-76,male,"09/930, Majumdar Path
Davanagere 864323",1.40544E+11,9178201043,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Hunar Keer,15-11-16,male,"32/50, Dara Street, Bally-612242",7.04169E+11,7658730662,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Priyansh Garg,18-12-76,female,"02, Bumb Zila, Dibrugarh-578829",9.70957E+11,1.23477E+12,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Neysa Vala,02-11-18,male,"83, Sekhon Marg, Satara 301906",17596095744,3552636431,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Amani Karan,26-02-70,male,"H.No. 113
Rama
Bulandshahr-427544",2.46557E+11,8.83071E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Jivika Chaudry,22-08-85,female,"H.No. 22
Agrawal Path, Jodhpur 248787",7.80307E+11,915801809,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Kanav Sangha,15-10-96,male,"H.No. 71
Sule Marg
Bellary 437551",58469803692,6956088580,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Drishya Dey,17-01-18,male,"51/426
Chaudhry Path, Mau 907656",75634358056,25677570040,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Nishith Issac,05-08-95,female,"H.No. 251, Chada Path, Chandigarh-331301",8.98112E+11,71387936522,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Azad Dubey,19-10-62,female,"H.No. 66
Thakkar, Ghaziabad-626064",1.8306E+11,917773417,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Badal Bhandari,09-01-62,male,"34, Kala Road, Gulbarga-511505",7.60755E+11,9.11955E+11,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Neelofar Sinha,11-07-19,male,"21/78, Tata, Madanapalle-013461",4.74465E+11,9.99187E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Saira Bala,05-12-05,female,"195
Saha Path, Alwar 938037",5.90143E+11,302893627,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Taran Rattan,24-04-78,female,"H.No. 239, Vyas
Jorhat-889111",9.91737E+11,2326834196,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Vritika Deol,08-09-75,male,"46/448, Chawla Ganj, Saharsa-106376",3.46185E+11,9.11768E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Amani Dhingra,12-11-59,male,"72/948
Swaminathan Zila
Tadepalligudem 396631",6.87237E+11,2.21881E+12,TRUE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Prisha Garg,16-07-01,male,"71/68, Kothari Road, Ambala 638095",2.91296E+11,8105723215,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Taimur Saraf,06-09-77,male,"47/702
Sandhu Ganj, Begusarai 972353",9.72158E+11,8728031292,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Tejas Wason,20-07-90,male,"88, Sahni Circle
Karawal Nagar-701124",9.15233E+11,9.10765E+11,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Jivika Bahl,22-12-07,female,"277
Sachdev Road
Jehanabad 171182",8.48554E+11,9188210654,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Zara Chowdhury,24-07-05,male,"81/834
Uppal Zila, Kolhapur 126882",3.60239E+11,64686255725,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Manjari Madan,29-02-08,male,"67/82
Krishna
Khora -757139",92486557005,6500744755,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Renee Golla,29-11-44,male,"98/12
Choudhary Marg, Siliguri 297747",4.96539E+11,1.88683E+12,FALSE,FALSE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Samaira Kakar,02-12-31,female,"H.No. 16
Chana Circle
Barasat 357662",7.25478E+11,791669066,FALSE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Navya Mandal,26-09-08,male,"H.No. 976
Tailor Road
Kottayam 351841",1.68566E+11,3.97695E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\maleAvatar.gif
Purab Gour,08-10-09,female,"39, Goda Ganj, Begusarai-122688",6.09648E+11,9.10868E+11,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
Ayesha Uppal,07-01-25,female,"H.No. 270
Mangat Street, Ramgarh 956379",4.07455E+11,3.97973E+12,TRUE,TRUE,E:\Mini_Project\public_transit_pass_info\assets\images\femaleAvatar.gif
